,Unnamed: 0,magnetogram,T_REC,region_type,region_no,label
26479,26479,/SUM91/D1041776047/S00000/magnetogram.fits,2013-07-20 17:36:00,harp,2982,False
7007,7007,/SUM88/D1037339303/S00000/magnetogram.fits,2011-09-09 08:00:00,harp,833,True
20996,20996,/SUM91/D1038915761/S00000/magnetogram.fits,2013-01-16 09:36:00,harp,2362,False
19428,19428,/SUM98/D1044265892/S00000/magnetogram.fits,2012-11-14 01:36:00,harp,2191,True
37001,37001,/SUM19/D575850733/S00000/magnetogram.fits,2014-05-11 14:24:00,harp,4108,False
8806,8806,/SUM98/D1040877431/S00000/magnetogram.fits,2011-11-05 17:36:00,harp,1028,True
37358,37358,/SUM15/D581007641/S00000/magnetogram.fits,2014-05-24 11:12:00,harp,4138,True
7365,7365,/SUM84/D1037793650/S00000/magnetogram.fits,2011-09-12 17:36:00,harp,854,False
37560,37560,/SUM5/D584579632/S00000/magnetogram.fits,2014-06-03 04:48:00,harp,4166,False
7001,7001,/SUM96/D1037335398/S00000/magnetogram.fits,2011-09-08 22:24:00,harp,833,True
47296,47296,/SUM18/D689379318/S00000/magnetogram.fits,2015-03-17 00:00:00,harp,5298,True
50749,50749,/SUM78/D718403283/S00000/magnetogram.fits,2015-05-29 09:36:00,harp,5627,False
67433,67433,/SUM68/D1244813271/S00000/magnetogram.fits,2019-11-15 00:00:00,harp,7389,False
24345,24345,/SUM84/D1037862378/S00000/magnetogram.fits,2013-05-11 04:48:00,harp,2718,False
1632,1632,/SUM93/D1043275213/S00000/magnetogram.fits,2011-02-15 20:48:00,harp,377,True
28432,28432,/SUM99/D1037688639/S00000/magnetogram.fits,2013-09-23 00:00:00,harp,3205,False
40812,40812,/SUM21/D634560761/S00000/magnetogram.fits,2014-10-21 04:48:00,harp,4698,True
1692,1692,/SUM96/D1043394071/S00000/magnetogram.fits,2011-02-18 14:24:00,harp,384,True
48747,48747,/SUM73/D699391355/S00000/magnetogram.fits,2015-04-13 14:24:00,harp,5450,False
34379,34379,/SUM48/D542051252/S00000/magnetogram.fits,2014-02-01 09:36:00,harp,3688,True
9917,9917,/SUM86/D1042758658/S00000/magnetogram.fits,2011-12-04 06:24:00,harp,1119,False
64519,64519,/SUM87/D978627554/S00000/magnetogram.fits,2017-09-04 14:24:00,harp,7115,True
34313,34313,/SUM55/D541852964/S00000/magnetogram.fits,2014-02-03 11:12:00,harp,3686,True
63133,63133,/SUM97/D1010675622/S00000/magnetogram.fits,2017-02-24 12:48:00,harp,6951,False
58285,58285,/SUM83/D813869140/S00000/magnetogram.fits,2016-03-19 00:00:00,harp,6439,False
51931,51931,/SUM76/D729136213/S00000/magnetogram.fits,2015-07-05 20:48:00,harp,5745,True
34422,34422,/SUM69/D541944938/S00000/magnetogram.fits,2014-02-07 09:36:00,harp,3688,True
34377,34377,/SUM42/D542041342/S00000/magnetogram.fits,2014-02-01 06:24:00,harp,3688,True
37416,37416,/SUM17/D581351644/S00000/magnetogram.fits,2014-05-25 08:00:00,harp,4152,False
42567,42567,/SUM46/D642465228/S00000/magnetogram.fits,2014-11-14 19:12:00,harp,4816,False
47297,47297,/SUM19/D689804694/S00000/magnetogram.fits,2015-03-17 01:36:00,harp,5298,True
5566,5566,/SUM96/D1043051372/S00000/magnetogram.fits,2011-07-29 09:36:00,harp,750,True
6955,6955,/SUM96/D1037301695/S00000/magnetogram.fits,2011-09-05 14:24:00,harp,833,True
40859,40859,/SUM5/D637882851/S00000/magnetogram.fits,2014-10-24 11:12:00,harp,4698,True
60640,60640,/SUM97/D998630001/S00000/magnetogram.fits,2016-07-23 09:36:00,harp,6683,False
23661,23661,/SUM94/D1044097093/S00000/magnetogram.fits,2013-04-20 04:48:00,harp,2661,False
15835,15835,/SUM89/D1037942139/S00000/magnetogram.fits,2012-07-04 09:36:00,harp,1807,True
60205,60205,/SUM95/D998646683/S00000/magnetogram.fits,2016-07-11 16:00:00,harp,6664,False
50228,50228,/SUM74/D715808511/S00000/magnetogram.fits,2015-05-19 22:24:00,harp,5582,False
13104,13104,/SUM97/D1040762428/S00000/magnetogram.fits,2012-03-31 09:36:00,harp,1528,False
14988,14988,/SUM93/D1044020826/S00000/magnetogram.fits,2012-05-29 22:24:00,harp,1701,False
63761,63761,/SUM86/D1018805505/S00000/magnetogram.fits,2017-05-08 00:00:00,harp,6999,False
40840,40840,/SUM21/D635177374/S00000/magnetogram.fits,2014-10-23 01:36:00,harp,4698,True
46187,46187,/SUM3/D669910603/S00000/magnetogram.fits,2015-01-26 00:00:00,harp,5107,True
8876,8876,/SUM99/D1041083976/S00000/magnetogram.fits,2011-11-11 00:00:00,harp,1038,False
19036,19036,/SUM85/D1043667940/S00000/magnetogram.fits,2012-11-05 14:24:00,harp,2171,False
40816,40816,/SUM0/D634570486/S00000/magnetogram.fits,2014-10-21 11:12:00,harp,4698,True
26116,26116,/SUM84/D1040976356/S00000/magnetogram.fits,2013-07-12 12:48:00,harp,2948,False
47499,47499,/SUM64/D689809141/S00000/magnetogram.fits,2015-03-17 11:12:00,harp,5328,False
24094,24094,/SUM96/D1037446298/S00000/magnetogram.fits,2013-05-01 14:24:00,harp,2693,True
51943,51943,/SUM83/D729422317/S00000/magnetogram.fits,2015-07-06 16:00:00,harp,5745,True
53771,53771,/SUM74/D754114923/S00000/magnetogram.fits,2015-09-20 09:36:00,harp,5956,True
