,Unnamed: 0,magnetogram,T_REC,region_type,region_no,label
9247,9247,/SUM98/D1041566733/S00000/magnetogram.fits,2011-11-15 00:00:00,harp,1066,True
45738,45738,/SUM4/D667818196/S00000/magnetogram.fits,2015-01-16 17:36:00,harp,5073,False
54312,54312,/SUM83/D756243891/S00000/magnetogram.fits,2015-09-27 19:12:00,harp,5983,True
32911,32911,/SUM88/D1043746257/S00000/magnetogram.fits,2014-01-01 16:00:00,harp,3535,True
45967,45967,/SUM50/D667777709/S00000/magnetogram.fits,2015-01-18 20:48:00,harp,5083,False
5130,5130,/SUM92/D1042393261/S00000/magnetogram.fits,2011-07-20 00:00:00,harp,714,False
48976,48976,/SUM77/D701362696/S00000/magnetogram.fits,2015-04-19 20:48:00,harp,5472,False
56474,56474,/SUM73/D779164804/S00000/magnetogram.fits,2015-12-14 04:48:00,harp,6171,False
60260,60260,/SUM89/D998624402/S00000/magnetogram.fits,2016-07-15 08:00:00,harp,6664,False
29851,29851,/SUM98/D1039085720/S00000/magnetogram.fits,2013-10-27 06:24:00,harp,3291,True
31285,31285,/SUM91/D1041173873/S00000/magnetogram.fits,2013-11-16 11:12:00,harp,3386,False
5427,5427,/SUM92/D1042824545/S00000/magnetogram.fits,2011-07-26 17:36:00,harp,746,True
63981,63981,/SUM96/D1018834637/S00000/magnetogram.fits,2017-05-18 22:24:00,harp,7015,False
30850,30850,/SUM88/D1040441803/S00000/magnetogram.fits,2013-11-11 16:00:00,harp,3364,False
448,448,/SUM95/D1041601062/S00000/magnetogram.fits,2010-12-12 17:36:00,harp,279,False
2136,2136,/SUM90/D1037292473/S00000/magnetogram.fits,2011-03-15 04:48:00,harp,415,False
3232,3232,/SUM94/D1039414919/S00000/magnetogram.fits,2011-05-10 04:48:00,harp,590,False
34753,34753,/SUM51/D542882069/S00000/magnetogram.fits,2014-02-12 09:36:00,harp,3721,True
23530,23530,/SUM99/D1043913024/S00000/magnetogram.fits,2013-04-12 11:12:00,harp,2636,True
22266,22266,/SUM90/D1040757913/S00000/magnetogram.fits,2013-02-20 04:48:00,harp,2493,False
1631,1631,/SUM92/D1043274653/S00000/magnetogram.fits,2011-02-15 19:12:00,harp,377,True
6947,6947,/SUM84/D1037297770/S00000/magnetogram.fits,2011-09-05 01:36:00,harp,833,True
31716,31716,/SUM99/D1041721831/S00000/magnetogram.fits,2013-12-06 20:48:00,harp,3437,True
8954,8954,/SUM85/D1041191615/S00000/magnetogram.fits,2011-11-09 08:00:00,harp,1041,True
35516,35516,/SUM56/D559930917/S00000/magnetogram.fits,2014-03-30 09:36:00,harp,3894,True
68820,68820,/SUM13/D1345317576/S00000/magnetogram.fits,2020-10-16 16:00:00,harp,7454,False
32905,32905,/SUM92/D1043738394/S00000/magnetogram.fits,2014-01-01 06:24:00,harp,3535,True
48494,48494,/SUM57/D697555188/S00000/magnetogram.fits,2015-04-07 16:00:00,harp,5415,True
38437,38437,/SUM95/D588055744/S00000/magnetogram.fits,2014-06-12 01:36:00,harp,4231,True
60323,60323,/SUM88/D998649697/S00000/magnetogram.fits,2016-07-14 03:12:00,harp,6666,False
